Name,Description,Unlock,In Game Secret Number,link
Mega Mush,Beat everything in Hard Mode as every character.,Earn all Hard mode Completion Marks for all non-Tainted characters,547,/wiki/Mega_Mush
Mom's Lock,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Isaac",548,/wiki/Mom%27s_Lock
Dice Bag,???,Defeat Mother as Tainted Isaac,549,/wiki/Dice_Bag
Holy Crown,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Magdalene",550,/wiki/Holy_Crown
Mother's Kiss,???,Defeat Mother as Tainted Magdalene,551,/wiki/Mother%27s_Kiss
Gilded Key,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Cain",552,/wiki/Gilded_Key
Lucky Sack,???,Defeat Mother as Tainted Cain,553,/wiki/Lucky_Sack
Your Soul,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Judas",554,/wiki/Your_Soul
Number Magnet,???,Defeat Mother as Tainted Judas,555,/wiki/Number_Magnet
Dingle Berry,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted ???",556,/wiki/Dingle_Berry
Ring Cap,???,Defeat Mother as Tainted ???,557,/wiki/Ring_Cap
Strange Key,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Eve",558,/wiki/Strange_Key
Lil Clot,???,Defeat Mother as Tainted Eve,559,/wiki/Lil_Clot
Temporary Tattoo,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Samson",560,/wiki/Temporary_Tattoo
Swallowed M80,???,Defeat Mother as Tainted Samson,561,/wiki/Swallowed_M80
Wicked Crown,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Azazel",562,/wiki/Wicked_Crown
Azazel's Stump,???,Defeat Mother as Tainted Azazel,563,/wiki/Azazel%27s_Stump
Torn Pocket,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Lazarus",564,/wiki/Torn_Pocket
Torn Card,???,Defeat Mother as Tainted Lazarus,565,/wiki/Torn_Card
Nuh Uh!,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Eden",566,/wiki/Nuh_Uh!
Modeling Clay,???,Defeat Mother as Tainted Eden,567,/wiki/Modeling_Clay
Kid's Drawing,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Lost",568,/wiki/Kid%27s_Drawing
Crystal Key,???,Defeat Mother as Tainted Lost,569,/wiki/Crystal_Key
The Twins,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Lilith",570,/wiki/The_Twins
Adoption Papers,???,Defeat Mother as Tainted Lilith,571,/wiki/Adoption_Papers
Keeper's Bargain,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Keeper",572,/wiki/Keeper%27s_Bargain
Cursed Penny,???,Defeat Mother as Tainted Keeper,573,/wiki/Cursed_Penny
Cricket Leg,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Apollyon",574,/wiki/Cricket_Leg
Apollyon's Best Friend,???,Defeat Mother as Tainted Apollyon,575,/wiki/Apollyon%27s_Best_Friend
Polished Bone,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Forgotten",576,/wiki/Polished_Bone
Hollow Heart,???,Defeat Mother as Tainted Forgotten,577,/wiki/Hollow_Heart
Expansion Pack,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Bethany",578,/wiki/Expansion_Pack
Beth's Essence,???,Defeat Mother as Tainted Bethany,579,/wiki/Beth%27s_Essence
RC Remote,???,"Defeat Isaac, ???, Satan, and The Lamb as Tainted Jacob",580,/wiki/RC_Remote
Found Soul,???,Defeat Mother as Tainted Jacob,581,/wiki/Found_Soul
Member Card,Spend 40+ pennies in a single shop.,Spend 40+ coins in a single Shop,582,/wiki/Member_Card
Golden Razor,Obtain 99 pennies. Then spend every single one of them.,"In a single run, obtain 99 Coins, then spend all of them",583,/wiki/Golden_Razor
Spindown Dice,???,Defeat Delirium as Tainted Isaac,584,/wiki/Spindown_Dice
Hypercoagulation,???,Defeat Delirium as Tainted Magdalene,585,/wiki/Hypercoagulation
Bag of Crafting,???,Defeat Delirium as Tainted Cain,586,/wiki/Bag_of_Crafting
Dark Arts,???,Defeat Delirium as Tainted Judas,587,/wiki/Dark_Arts
IBS,???,Defeat Delirium as Tainted ???,588,/wiki/IBS
Sumptorium,???,Defeat Delirium as Tainted Eve,589,/wiki/Sumptorium
Berserk!,???,Defeat Delirium as Tainted Samson,590,/wiki/Berserk!
Hemoptysis,???,Defeat Delirium as Tainted Azazel,591,/wiki/Hemoptysis
Flip,???,Defeat Delirium as Tainted Lazarus,592,/wiki/Flip
Corrupted Data,???,Defeat Delirium as Tainted Eden,593,/wiki/Corrupted_Data
Ghost Bombs,???,Defeat Delirium as Tainted Lost,594,/wiki/Ghost_Bombs
Gello,???,Defeat Delirium as Tainted Lilith,595,/wiki/Gello
Keeper's Kin,???,Defeat Delirium as Tainted Keeper,596,/wiki/Keeper%27s_Kin
Abyss,???,Defeat Delirium as Tainted Apollyon,597,/wiki/Abyss
Decap Attack,???,Defeat Delirium as Tainted Forgotten,598,/wiki/Decap_Attack
Lemegeton,???,Defeat Delirium as Tainted Bethany,599,/wiki/Lemegeton
Anima Sola,???,Defeat Delirium as Tainted Jacob,600,/wiki/Anima_Sola
Mega Chest,???,Defeat Mega Satan as Tainted Isaac,601,/wiki/Mega_Chest
Queen of Hearts,???,Defeat Mega Satan as Tainted Magdalene,602,/wiki/Queen_of_Hearts
Gold Pill,???,Defeat Mega Satan as Tainted Cain,603,/wiki/Pills
Black Sack,???,Defeat Mega Satan as Tainted Judas,604,/wiki/Black_Sack
Charming Poop,???,Defeat Mega Satan as Tainted ???,605,/wiki/Charming_Poop
Horse Pill,???,Defeat Mega Satan as Tainted Eve,606,/wiki/Pills
Crane Game,???,Defeat Mega Satan as Tainted Samson,607,/wiki/Crane_Game
Hell Game,???,Defeat Mega Satan as Tainted Azazel,608,/wiki/Hell_Game
Wooden Chest,???,Defeat Mega Satan as Tainted Lazarus,609,/wiki/Wooden_Chest
Wild Card,???,Defeat Mega Satan as Tainted Eden,610,/wiki/Wild_Card
Haunted Chest,???,Defeat Mega Satan as Tainted Lost,611,/wiki/Haunted_Chest
Fool's Gold,???,Defeat Mega Satan as Tainted Lilith,612,/wiki/Fool%27s_Gold
Golden Penny,???,Defeat Mega Satan as Tainted Keeper,613,/wiki/Golden_Penny
Rotten Beggar,???,Defeat Mega Satan as Tainted Apollyon,614,/wiki/Rotten_Beggar
Golden Battery,???,Defeat Mega Satan as Tainted Forgotten,615,/wiki/Golden_Battery
Confessional,???,Defeat Mega Satan as Tainted Bethany,616,/wiki/Confessional
Golden Trinket,???,Defeat Mega Satan as Tainted Jacob,617,/wiki/Golden_Trinket
Soul of Isaac,???,Defeat Hush and Boss Rush as Tainted Isaac,618,/wiki/Soul_of_Isaac
Soul of Magdalene,???,Defeat Hush and Boss Rush as Tainted Magdalene,619,/wiki/Soul_of_Magdalene
Soul of Cain,???,Defeat Hush and Boss Rush as Tainted Cain,620,/wiki/Soul_of_Cain
Soul of Judas,???,Defeat Hush and Boss Rush as Tainted Judas,621,/wiki/Soul_of_Judas
Soul of ???,???,Defeat Hush and Boss Rush as Tainted ???,622,/wiki/Soul_of_%3F%3F%3F
Soul of Eve,???,Defeat Hush and Boss Rush as Tainted Eve,623,/wiki/Soul_of_Eve
Soul of Samson,???,Defeat Hush and Boss Rush as Tainted Samson,624,/wiki/Soul_of_Samson
Soul of Azazel,???,Defeat Hush and Boss Rush as Tainted Azazel,625,/wiki/Soul_of_Azazel
Soul of Lazarus,???,Defeat Hush and Boss Rush as Tainted Lazarus,626,/wiki/Soul_of_Lazarus
Soul of Eden,???,Defeat Hush and Boss Rush as Tainted Eden,627,/wiki/Soul_of_Eden
Soul of the Lost,???,Defeat Hush and Boss Rush as Tainted Lost,628,/wiki/Soul_of_the_Lost
Soul of Lilith,???,Defeat Hush and Boss Rush as Tainted Lilith,629,/wiki/Soul_of_Lilith
Soul of the Keeper,???,Defeat Hush and Boss Rush as Tainted Keeper,630,/wiki/Soul_of_the_Keeper
Soul of Apollyon,???,Defeat Hush and Boss Rush as Tainted Apollyon,631,/wiki/Soul_of_Apollyon
Soul of the Forgotten,???,Defeat Hush and Boss Rush as Tainted Forgotten,632,/wiki/Soul_of_the_Forgotten
Soul of Bethany,???,Defeat Hush and Boss Rush as Tainted Bethany,633,/wiki/Soul_of_Bethany
Soul of Jacob and Esau,???,Defeat Hush and Boss Rush as Tainted Jacob,634,/wiki/Soul_of_Jacob_and_Esau
A Strange Door,Where could it lead to?,Defeat Mother,635,/wiki/A_Strange_Door
Death Certificate,...,"Earn all Hard mode Completion Marks for all characters, including tainted ones",636,/wiki/Death_Certificate
Dead God,,Unlock all the other achievements and collect every item in the game,637,
